All neurons ordered are: ['PVR', 'RMEV', 'IL2DL', 'AWBR', 'ADFR', 'IL2DR', 'ADFL', 'AWBL', 'URYDL', 'AIML', 'DVA', 'URYDR', 'IL2VL', 'IL2L', 'AVDL', 'PHAL', 'AVJL', 'DB1', 'RMDDL', 'AVDR', 'AVL', 'PVT', 'AVKL', 'PHAR', 'RIH', 'RIPL', 'AVJR', 'IL2VR', 'DB4', 'AVKR', 'RIS', 'ADLL', 'BAGL', 'SAAVL', 'AWCL', 'DB3', 'URBL', 'IL2R', 'PVPL', 'SIAVL', 'SABD', 'URBR', 'AIBR', 'ADLR', 'RMDDR', 'AWCR', 'URYVR', 'RIBL', 'URYVL', 'ASHL', 'DA6', 'DA9', 'SAAVR', 'DB5', 'SAADL', 'DA1', 'SIAVR', 'AIMR', 'AVG', 'DA8', 'RIR', 'BAGR', 'SMDVR', 'RMDVR', 'SAADR', 'DA7', 'PDA', 'PVPR', 'RIVR', 'AVAR', 'SIBDL', 'RMDVL', 'AVAL', 'RMDR', 'AFDR', 'AVBR', 'SMBVL', 'AFDL', 'RMDL', 'DB2', 'SIADL', 'SIBVL', 'SIADR', 'ASHR', 'SIBVR', 'ALA', 'RMED', 'SMBVR', 'SMDDL', 'SIBDR', 'RIBR', 'URAVL', 'AIAL', 'DB6', 'RIPR', 'RMGR', 'AVBL', 'RIVL', 'SMDDR', 'AIYR', 'DB7', 'RMGL', 'AIAR', 'DD1', 'AWAR', 'ASGR', 'RIGL', 'RIML', 'DD2', 'RIGR', 'URAVR', 'AVEL', 'AWAL', 'ASGL', 'RMEL', 'RIAR', 'RMER', 'DA4', 'DA2', 'PVQR', 'AVER', 'PVQL', 'RIMR', 'RIAL', 'DD3', 'DA3', 'DD5', 'DA5', 'URADR', 'URADL', 'DD6', 'DD4', 'AINR', 'AINL', 'AVHR', 'AVHL', 'DVC', 'RID', 'ASER', 'ASEL', 'ASJR', 'AUAR', 'AUAL', 'ASJL', 'ASKL', 'ASKR', 'CEPDR', 'URXR', 'CEPDL', 'URXL', 'IL1DR', 'IL1L', 'IL1DL', 'ASIR', 'SMBDL', 'PHBR', 'HSNR', 'ASIL', 'CEPVL', 'SMBDR', 'OLLR', 'OLQDR', 'IL1VR', 'OLQDL', 'PHBL', 'RICL', 'HSNL', 'IL1VL', 'OLLL', 'CEPVR', 'OLQVL', 'IL1R', 'OLQVR', 'RIFL', 'SABVL', 'SABVR', 'RICR', 'RIFR', 'ADAR', 'FLPR', 'AIZR', 'ADEL', 'ADAL', 'ADER', 'AIZL', 'FLPL', 'LUAL', 'PVCL', 'ALMR', 'BDUR', 'PVCR', 'LUAR', 'BDUL', 'ALML', 'ALNR', 'PLMR', 'ALNL', 'PLML', 'PQR', 'AQR', 'PVM', 'SDQR', 'AVM', 'SDQL', 'PVWR', 'PVWL', 'VA1', 'VD1', 'RMHR', 'AS1', 'VB2', 'VD2', 'RMHL', 'VD3', 'AS2', 'PHCR', 'PHCL', 'VC3', 'PLNL', 'PLNR', 'AS4', 'AS3', 'VD7', 'DVB', 'VD5', 'VD6', 'VD4', 'VC4', 'VC2', 'AS5', 'AS6', 'VC1', 'VD9', 'VC5', 'VD10', 'VD8', 'AS8', 'VD11', 'AVFL', 'VA2', 'AVFR', 'AS7', 'VB1', 'VD13', 'AS9', 'VB3', 'VD12', 'AS10', 'AS11', 'PDB', 'VA6', 'VA4', 'VB9', 'VB5', 'VB4', 'VA3', 'VA8', 'VB7', 'VB6', 'VA5', 'VB10', 'VB11', 'VB8', 'VA7', 'VA10', 'VA9', 'VA12', 'VA11', 'PDER', 'PDEL', 'PVDR', 'PVNR', 'PVDL', 'PVNL', 'RMFR', 'RMFL']
Evaluated neurons ordered are: ['PVR', 'RMEV', 'IL2DL', 'AWBR', 'ADFR', 'IL2DR', 'ADFL', 'AWBL', 'URYDL', 'AIML', 'DVA', 'URYDR', 'IL2VL', 'IL2L', 'AVDL', 'PHAL', 'AVJL', 'DB1', 'RMDDL', 'AVDR', 'AVL', 'PVT', 'AVKL', 'PHAR', 'RIH', 'RIPL', 'AVJR', 'IL2VR', 'DB4', 'AVKR', 'RIS', 'ADLL', 'BAGL', 'SAAVL', 'AWCL', 'DB3', 'URBL', 'IL2R', 'PVPL', 'SIAVL', 'SABD', 'URBR', 'AIBR', 'ADLR', 'RMDDR', 'AWCR', 'URYVR', 'RIBL', 'URYVL', 'ASHL', 'DA6', 'DA9', 'SAAVR', 'DB5', 'SAADL', 'DA1', 'SIAVR', 'AIMR', 'AVG', 'DA8', 'RIR', 'BAGR', 'SMDVR', 'RMDVR', 'SAADR', 'DA7', 'PDA', 'PVPR', 'RIVR', 'AVAR', 'SIBDL', 'RMDVL', 'AVAL', 'RMDR', 'AFDR', 'AVBR', 'SMBVL', 'AFDL', 'RMDL', 'DB2']

Target connectome: 80 nodes, 255 edges, density=0.0398
  Out-degree: min=0, max=13, mean=3.19
  In-degree:  min=0, max=16, mean=3.19
Largest SCC: 24 nodes, 53 edges
Degree threshold for hubs (95th percentile): 7.0
Hub neurons: ['RIBL', 'RMDR', 'RIS']
G_C: 0.1565, G_rand_C: 0.0474, C_ratio: 3.2991
G_L: 4.3623, G_rand_L: 3.6020, L_ratio: 0.8257

NDP parameters breakdown:
  Embedding: 1
  Growth MLP: 4
  Transform MLP: 4
  Edge MLP: 5
  TOTAL: 14
============================================================
CMA-ES NDP Optimization
============================================================
  Target: 80 nodes, 255 edges
  Parameters: 14
  Metric: f1
  Population size: 128
  Max generations: 500
  Samples per eval: 1
============================================================
  Windows detected - using spawn multiprocessing with 24 workers
  Using 24 cores (parallel)
Gen   1 | loss=0.9250 | f1=0.0800 prec=0.0455 rec=0.3333 jacc=0.0417 | nodes=6/80 edges=22/255
Gen  46 | loss=0.8750 | f1=0.0968 prec=0.0517 rec=0.7500 jacc=0.0508 | nodes=10/80 edges=58/255
Gen  47 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  48 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  49 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  50 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  51 | loss=0.9000 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/80 edges=38/255
Gen  52 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  53 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  54 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  55 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  56 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  57 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  58 | loss=0.8750 | f1=0.0968 prec=0.0517 rec=0.7500 jacc=0.0508 | nodes=10/80 edges=58/255
Gen  59 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  60 | loss=0.8500 | f1=0.1042 prec=0.0556 rec=0.8333 jacc=0.0549 | nodes=12/80 edges=90/255
Gen  61 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  62 | loss=0.9000 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/80 edges=38/255
Gen  63 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  64 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  65 | loss=0.9000 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/80 edges=38/255
Gen  66 | loss=0.9000 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/80 edges=38/255
Gen  67 | loss=0.8000 | f1=0.1085 prec=0.0593 rec=0.6364 jacc=0.0574 | nodes=16/80 edges=118/255
Gen  68 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  69 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  70 | loss=0.9000 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/80 edges=38/255
Gen  71 | loss=0.8750 | f1=0.0968 prec=0.0517 rec=0.7500 jacc=0.0508 | nodes=10/80 edges=58/255
Gen  72 | loss=0.8750 | f1=0.0968 prec=0.0517 rec=0.7500 jacc=0.0508 | nodes=10/80 edges=58/255
Gen  73 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  74 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  75 | loss=0.8750 | f1=0.0968 prec=0.0517 rec=0.7500 jacc=0.0508 | nodes=10/80 edges=58/255
Gen  76 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  77 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  78 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  79 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  80 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  81 | loss=0.8750 | f1=0.0968 prec=0.0517 rec=0.7500 jacc=0.0508 | nodes=10/80 edges=58/255
Gen  82 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  83 | loss=0.8750 | f1=0.0968 prec=0.0517 rec=0.7500 jacc=0.0508 | nodes=10/80 edges=58/255
Gen  84 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  85 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  86 | loss=0.9000 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/80 edges=38/255
Gen  87 | loss=0.9000 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/80 edges=38/255
Gen  88 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  89 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  90 | loss=0.9000 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/80 edges=38/255
Gen  91 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  92 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  93 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  94 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  95 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  96 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen  97 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  98 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  99 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 100 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen 101 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 102 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 103 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 104 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 105 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 106 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 107 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 108 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 109 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen 110 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 111 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 112 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 113 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 114 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 115 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 116 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 117 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 118 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 119 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 120 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 121 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 122 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 123 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 124 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 125 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 126 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 127 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
